team_id,total_score,num_games,wins,losses,power,overall_rank,recent_opponent_1,recent_opponent_2,recent_opponent_3,recent_opponent_4,recent_opponent_5,div_rank,last_rank
Timpanogos UT,0,0,0,0,299.63191,-1,0,0,0,0,0,-1,0
Mt Eden Hayward CA,0,0,0,0,299.2685634,-1,23,466,23,466,23,-1,0
Falcon Jv,0,0,0,0,299.18144,-1,0,0,0,0,0,-1,0
Liberty(Joes),0,0,0,0,299.02992,-1,0,0,0,0,0,-1,0
Meeker,0,0,11,13,298.9319101,194,176,303,159,161,157,26,0
Mountain Valley,0,0,0,0,298.84436,-1,0,0,0,0,0,-1,0
Ralston Valley Jv,0,0,0,0,298.66688,-1,0,0,0,0,0,-1,0
Dove Creek,0,0,17,6,298.4803076,195,171,231,186,184,83,21,0
Crowley County,0,0,12,12,298.3022291,196,199,153,1265,154,190,22,0
Denver Science-Montview,0,0,15,8,298.252728,197,103,665,20,25,1150,27,0
Lone Star,0,0,12,11,298.2094976,198,303,284,285,281,263,23,0
St Francis KS,0,0,0,2,298.1742125,-1,276,145,276,145,276,-1,0
Palmer,0,0,7,16,298.1424855,199,74,75,8,441,11,47,0
Portola Irvine CA,0,0,0,0,298.11896,-1,0,0,0,0,0,-1,0
North Fork,0,0,11,12,298.0564921,200,177,164,168,160,178,27,0
Greeley West,0,0,5,18,297.9862784,201,51,30,32,336,35,48,0
Cortez,0,0,7,17,297.9832743,202,1018,123,127,126,128,28,0
Chadron NE,0,0,1,0,297.7328415,-1,929,929,929,929,929,-1,0
Addenbrooke Classical,0,0,20,4,297.5643497,203,313,401,377,677,533,28,0
Windsor Charter,0,0,11,13,297.4913854,204,1152,418,670,147,148,29,0
Corona Del Sol AZ,0,0,0,0,297.2210359,-1,73,74,73,74,73,-1,0
Dayspring Christian,0,0,10,14,297.0300054,205,195,624,171,215,367,23,0
Muir Pasadena CA,0,0,0,0,296.8284287,-1,74,74,74,74,74,-1,0
Kim,0,0,12,9,296.7370021,206,287,292,250,248,520,24,0
Sierra Grande,0,0,14,10,296.6287674,207,165,301,105,125,261,25,0
Cimarron-Memorial NV,0,0,0,0,296.5480217,-1,23,23,23,23,23,-1,0
Trabuco Hills Mission Viejo CA,0,0,0,1,296.4655378,-1,3,3,3,3,3,-1,0
Eagle Ridge,0,0,8,16,296.1859275,208,132,205,337,357,313,29,0
Legend Jv,0,0,0,0,296.03671,-1,0,0,0,0,0,-1,0
Blanding UT,0,0,0,0,295.97092,-1,0,0,0,0,0,-1,0
Mitchell NE,0,0,1,0,295.8261913,-1,929,929,929,929,929,-1,0
Sierra JV,0,0,0,0,295.76012,-1,0,0,0,0,0,-1,0
South Platte NE,0,0,0,2,295.7071275,-1,280,409,280,409,280,-1,0
Middle Park,0,0,11,11,295.5188923,209,135,594,337,54,37,30,0
College View Academy Lincoln NE,0,0,1,0,295.4336961,-1,202,202,202,202,202,-1,0
Rye,0,0,9,13,295.3982645,210,100,708,189,547,599,31,0
Fowler,0,0,9,15,295.0069576,211,215,192,191,189,168,24,0
Battle Mountain,0,0,9,14,294.9779372,212,62,157,158,96,117,49,0
Lingle-Fort Laramie WY,0,0,0,0,294.42886,-1,0,0,0,0,0,-1,0
Manitou Springs,0,0,10,13,294.2353249,213,149,547,547,166,149,30,0
Grant NE,0,0,0,0,293.95885,-1,0,0,0,0,0,-1,0
Sidney Neb Jv,0,0,0,0,293.75432,-1,0,0,0,0,0,-1,0
Questa NM,0,0,1,0,293.6965733,-1,194,194,194,194,194,-1,0
Jim Elliot,0,0,0,0,293.41099,-1,0,0,0,0,0,-1,0
Goodwell OK,0,0,0,0,293.06,-1,0,0,0,0,0,-1,0
Swink,0,0,10,14,292.8601802,214,210,190,152,292,139,25,0
Conifer,0,0,14,10,292.8014657,215,104,57,1297,141,42,32,0
Harrison,0,0,8,14,292.1126741,216,11,8,79,10,168,50,0
Limon,0,0,4,20,292.1042063,217,409,145,265,409,311,26,0
Wellington,0,0,3,20,291.8413194,218,1018,106,318,374,418,31,0
CS Christian JV,0,0,0,0,291.47369,-1,0,0,0,0,0,-1,0
Torrington WY,0,0,0,0,291.46337,-1,0,0,0,0,0,-1,0
Montrose JV,0,0,0,1,291.4448258,-1,188,188,188,188,188,-1,0
Maxwell NM,0,0,0,0,290.92281,-1,0,0,0,0,0,-1,0
Mccurdy NM,0,0,0,0,290.80694,-1,0,0,0,0,0,-1,0
Liberty Common,0,0,8,16,290.6529651,219,124,489,146,133,146,33,0
Kimball NE,0,0,0,2,290.2166364,-1,282,265,282,265,282,-1,0
Durango JV,0,0,1,0,289.8517718,-1,123,123,123,123,123,-1,0
South Baca,0,0,11,12,289.8361259,220,246,288,286,297,193,26,0
Brighton,0,0,3,20,289.7357779,221,170,33,73,559,469,54,0
South Park,0,0,15,9,289.644215,222,169,105,301,195,438,27,0
Valley View Moreno Valley CA,0,0,0,1,289.1480093,-1,18,18,18,18,18,-1,0
Salem Academy OR,0,0,0,1,288.2465816,-1,21,21,21,21,21,-1,0
Fort Lupton,0,0,12,10,288.2205819,223,116,156,129,92,510,32,0
Mountain View,0,0,5,18,287.9579879,224,62,591,1042,131,67,51,0
Loma Linda Academy CA,0,0,0,0,287.6794263,-1,202,202,202,202,202,-1,0
Akron JV,0,0,0,0,287.44527,-1,0,0,0,0,0,-1,0
Denver West,0,0,13,11,287.1888719,225,649,28,672,665,24,33,0
