id,home_team_id,visitor_team_id,original_home_score,original_visitor_score,home_z_score,visitor_z_score,week_id,flagged,invalid,home_field_advantage
42881,Adrian,Madonna,38,20,-1.006628139,1.006628139,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42869,Akron,Colgate,31,20,-0.600359788,0.600359788,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42887,Alabama A&M,Georgetown KY,24,16,0.012402225,-0.012402225,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42848,Albion,Bluffton,56,21,-0.495669505,0.495669505,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42774,Alcorn St,Edward Waters,38,7,0.07117922,-0.07117922,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42892,Alfred,Juniata,64,28,0.123447064,-0.123447064,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43060,Alfred St,Rochester NY,0,28,0.261279665,-0.261279665,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43062,Allegheny,St Vincent,20,41,-1.732424694,1.732424694,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42909,Amherst,Bates,19,7,2.587408397,-2.587408397,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42935,Anderson SC,LaGrange,44,14,0.040635863,-0.040635863,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42782,Angelo St,E New Mexico,26,20,-1.251509259,1.251509259,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43068,Anna Maria,Coast Guard,45,52,-0.458666319,0.458666319,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43084,Ark Pine Bluff,Tennessee St,28,41,0.452073566,-0.452073566,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,FALSE
42864,Arkansas,UAB,37,27,-0.971945575,0.971945575,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42810,Auburn,New Mexico,45,19,0.290390944,-0.290390944,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42993,Aurora,N Central Il,21,48,-0.267688979,0.267688979,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42983,Austin Col,Rhodes,13,49,-1.629710234,1.629710234,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42943,Ave Maria,Ft Lauderdale,31,7,0.314287851,-0.314287851,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43069,Avila,Friends,10,56,-0.587597324,0.587597324,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42829,Baylor,Air Force,31,3,-0.131366291,0.131366291,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42994,Belhaven MS,Trinity TX,10,55,-0.75893171,0.75893171,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42980,Beloit,Knox,13,17,-0.711673499,0.711673499,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42844,Bemidji St,SW Minnesota,33,0,-0.396629694,0.396629694,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43032,Benedict,Lane,27,32,-0.931163716,0.931163716,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42970,Benedictine KS,Grand View,28,52,-2.056212545,2.056212545,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42996,Berry,DePauw,0,33,-1.424166375,1.424166375,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43036,Bloomsburg,Seton Hill,14,15,-2.052117993,2.052117993,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43055,Bowie St,Davenport,14,17,0.125350565,-0.125350565,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43007,Brevard,Hampden-Sydney,30,51,-0.981519588,0.981519588,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42889,Bridgewater VA,S Virginia,80,0,0.350364892,-0.350364892,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42974,Bryant,Holy Cross,22,43,-0.101249848,0.101249848,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42986,Bucknell,Merrimack,21,31,-0.146726995,0.146726995,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42863,Buffalo,Massachusetts,34,3,1.093025548,-1.093025548,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42911,Buffalo St,Hilbert,42,6,0.223505891,-0.223505891,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42794,Butler,Hanover,53,0,-0.312472815,0.312472815,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42874,C Oklahoma,C Missouri,57,40,0.301073801,-0.301073801,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43047,CO Mesa,C Washington,12,28,-1.326239387,1.326239387,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42763,CS Sacramento,Nicholls St,34,7,1.925147681,-1.925147681,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42969,CSU-Pueblo,Grand Valley St,21,24,-0.479331691,0.479331691,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43046,Cal Lutheran,Central IA,10,35,0.262757649,-0.262757649,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42859,Cal Poly,W Oregon,31,14,-0.093467482,0.093467482,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42764,California,San Diego St,31,10,0.043365915,-0.043365915,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42769,Carnegie Mellon,Geneva,41,7,-0.208416426,0.208416426,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42836,Carroll MT,Rocky Mtn,16,13,-0.959556664,0.959556664,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42933,Case Western,Bethany WV,64,6,0.074488539,-0.074488539,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42767,Catholic,Capital,38,20,0.150300046,-0.150300046,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42770,Cent Arkansas,Austin Peay,45,17,0.798371092,-0.798371092,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42875,Centre,Maryville TN,17,14,-0.141905028,0.141905028,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42854,Charlotte,Gardner Webb,27,26,-1.085026781,1.085026781,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42985,Chattanooga,Mercer,3,10,-2.667052369,2.667052369,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43063,Chicago,Monmouth IL,21,34,-0.004332772,0.004332772,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43027,Chowan,Barton,20,24,-0.195134007,0.195134007,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42978,Chris Newport,Johns Hopkins,3,14,-0.46203075,0.46203075,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42872,Citadel,North Greenville,54,0,1.487704823,-1.487704823,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43074,Clarke,Missouri Val,13,37,0.251988549,-0.251988549,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42906,College of NJ,Frank & Marsh,17,13,2.01131388,-2.01131388,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43022,Colorado St,Colorado,9,28,-0.252241361,0.252241361,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43038,Concord,UVA-Wise,0,28,-0.680298251,0.680298251,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42893,Concordia IL,Manchester,28,27,-1.015250512,1.015250512,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42957,Concordia SP,Winona St,14,31,-0.171796771,0.171796771,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42936,Concordia WI,Calvin,34,24,0.178149817,-0.178149817,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42879,Cortland St,Lycoming,70,7,0.201705166,-0.201705166,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42876,Cumberland TN,St Andrew's,41,6,-0.767828891,0.767828891,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42908,Cumberlands KY,Pikeville,52,20,2.451525097,-2.451525097,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42959,Curry,Hardin-Simmons,21,73,0.251050318,-0.251050318,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42944,Dakota St,Jamestown,16,6,0.912448223,-0.912448223,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43075,Dakota Wesleyan,Concordia NE,7,42,-0.585890623,0.585890623,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42873,Davidson,Point,42,12,-0.373169366,0.373169366,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42961,Delaware St,Wagner,7,30,-1.878418832,1.878418832,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42894,Delaware Val,Alvernia,42,7,0.032873611,-0.032873611,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42960,Denison,Alma,30,38,0.152094595,-0.152094595,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43012,Dickinson St ND,WI Stout,20,22,-0.804258266,0.804258266,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42939,Doane,Waldorf,26,7,0.442550132,-0.442550132,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42776,Duke,Connecticut,26,21,-0.314505947,0.314505947,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42780,E Kentucky,West Georgia,26,7,1.540656603,-1.540656603,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42781,E Michigan,Jacksonville St,37,34,1.476274019,-1.476274019,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42895,E Stroudsburg,Gannon,24,7,-0.056554646,0.056554646,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42965,ETSU,N Dakota St,35,38,0.865051941,-0.865051941,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42964,East Carolina,Appalachian St,19,21,-0.902657703,0.902657703,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43056,Eastern Univ,Widener,13,27,-2.751482147,2.751482147,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
42966,Elon,W Carolina,17,24,-1.761578279,1.761578279,"Game Set 4.1, 2024 College Mens Football",FALSE,FALSE,TRUE
