id,home_team_id,visitor_team_id,original_home_score,original_visitor_score,home_z_score,visitor_z_score,week_id,flagged,invalid,home_field_advantage
43311,Abilene Chr,Idaho,24,27,-0.059290419,0.059290419,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43409,Allegheny,Westminster PA,7,42,0.363139452,-0.363139452,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43102,Allen,Point,35,10,1.195894135,-1.195894135,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43428,Alvernia,King's PA,10,35,-0.116918684,0.116918684,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43412,American Intl,St Anselm,20,37,-0.659969824,0.659969824,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43421,Anderson IN,Calvin,12,66,-0.925588778,0.925588778,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43420,Anderson SC,Limestone,5,52,-1.17718127,1.17718127,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43279,Appalachian St,South Alabama,14,48,-3.140838991,3.140838991,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43280,Ark Monticello,Harding,3,63,-0.703178107,0.703178107,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43289,Ark Pine Bluff,Cent Arkansas,17,56,-0.216494882,0.216494882,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43200,Army,Rice,37,14,-0.282100983,0.282100983,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43320,Auburn,Arkansas,14,24,-1.331942895,1.331942895,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43136,Augustana SD,Northern St SD,41,7,0.43747201,-0.43747201,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43232,Aurora,St Norbert,49,0,0.448421289,-0.448421289,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43427,Austin Col,Centenary,17,36,-1.286680032,1.286680032,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43138,Austin Peay,Alabama A&M,59,16,1.266210254,-1.266210254,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43304,Averett,Ferrum,10,36,-1.020416352,1.020416352,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43198,BYU,Kansas St,38,9,1.274578196,-1.274578196,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43269,Baker KS,Culver-Stockton,61,7,0.477091015,-0.477091015,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43415,Bates,Trinity CT,7,28,-0.322966399,0.322966399,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43086,Benedict,Edward Waters,31,28,0.011013381,-0.011013381,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43251,Benedictine IL,Rockford,34,7,1.217495414,-1.217495414,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43091,Bentley,S Connecticut,34,24,-0.536252294,0.536252294,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43270,Bethany KS,Sterling,35,14,1.535892728,-1.535892728,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43255,Bethel KS,Avila,20,17,0.253028273,-0.253028273,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43166,Bethel MN,WI Eau Claire,51,30,0.335135598,-0.335135598,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43291,Bethune-Cookman,Clark Atlanta,37,38,-1.926150835,1.926150835,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43116,Black Hills St,Ft Lewis,33,7,-0.105772183,0.105772183,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43354,Bluffton,Trine,20,52,-0.051086477,0.051086477,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43162,Boise St,Portland St,56,14,-0.483679939,0.483679939,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43141,Boston College,Michigan St,23,19,1.301331116,-1.301331116,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43418,Bowdoin,Middlebury,15,39,-2.097763911,2.097763911,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43231,Bowie St,Livingstone,31,17,0.764111374,-0.764111374,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43159,Brevard,Belhaven MS,42,26,0.46439978,-0.46439978,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43424,Briar Cliff,Concordia NE,13,63,-0.47474436,0.47474436,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43240,Brockport St,Wilkes,31,17,0.269792474,-0.269792474,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43137,Bucknell,Marist,34,18,-0.36305273,0.36305273,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43149,C Michigan,Ball St,37,34,1.848376104,-1.848376104,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43235,CSU-Pueblo,CO Mesa,38,14,0.65590301,-0.65590301,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43341,Cal Lutheran,Pac Lutheran,17,27,0.007093292,-0.007093292,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43286,Campbell,Stony Brook,17,24,-0.249002886,0.249002886,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43171,Campbellsville,Bluefield Univ,69,37,0.078044684,-0.078044684,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
43287,Capital,Baldwin-Wallace,21,55,-0.283996118,0.283996118,"Game Set 5.1, 2024 College Mens Football",FALSE,FALSE,TRUE
