id,home_team_id,visitor_team_id,original_home_score,original_visitor_score,home_z_score,visitor_z_score,week_id,flagged,invalid,home_field_advantage
44263,Adams St,CO Mesa,10,52,0.322995615,-0.322995615,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44167,Alabama,South Carolina,27,25,-0.829183789,0.829183789,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44146,Alabama A&M,Bethune-Cookman,56,12,1.79281516,-1.79281516,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44081,Alabama St,MS Valley St,54,17,0.405609661,-0.405609661,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44346,Albright,Misericordia,10,13,0.503451583,-0.503451583,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44349,Alvernia,FDU Madison,26,37,0.598271446,-0.598271446,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44350,American Intl,Franklin Pierce,14,41,-0.631061496,0.631061496,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44359,Amherst,Bowdoin,7,35,-2.379803692,2.379803692,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44375,Anderson IN,Mt St Joseph,0,49,0.332526171,-0.332526171,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44107,Angelo St,TX A&M K'ville,38,0,1.664003625,-1.664003625,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44078,Arizona St,Utah,27,19,0.282558043,-0.282558043,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44340,Ark Monticello,SE Oklahoma,0,27,-1.209286368,1.209286368,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44079,Ark Pine Bluff,Prairie View,21,17,1.521366154,-1.521366154,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44118,Arkansas Tech,SW Oklahoma,29,19,0.409058576,-0.409058576,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44173,Army,UAB,44,10,-0.111352958,0.111352958,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44227,Assumption,Bentley,16,13,0.409433145,-0.409433145,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44131,Augsburg,Hamline,37,27,-0.548800262,0.548800262,"Game Set 8.1, 2024 College Mens Football",FALSE,FALSE,TRUE
