id,home_team_id,visitor_team_id,original_home_score,original_visitor_score,home_z_score,visitor_z_score,week_id,flagged,invalid,home_field_advantage
44553,Abilene Chr,E Kentucky,34,20,0.912431207,-0.912431207,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44591,Adams St,Colorado Mines,14,56,0.398435534,-0.398435534,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44566,Adrian,Calvin,30,10,-0.250442555,0.250442555,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44668,Air Force,Colorado St,13,21,0.144937283,-0.144937283,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44396,Albany GA,Morehouse,52,6,0.622310282,-0.622310282,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44691,Alfred,Cortland St,17,59,-0.207554164,0.207554164,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44557,Alfred St,Dean,58,0,0.475704137,-0.475704137,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44595,Allen,Benedict,27,34,-1.133595632,1.133595632,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44404,Alma,Albion,40,30,-0.350544009,0.350544009,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44699,Alvernia,Eastern Univ,14,22,-0.534308623,0.534308623,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44607,Anderson IN,Hanover,0,35,0.486527744,-0.486527744,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44718,Anderson SC,Emory & Henry,3,34,-0.485544642,0.485544642,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44604,Arizona,Colorado,7,34,-0.810728858,0.810728858,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44644,Arizona Chr,Southern Oregon,7,48,-0.111150335,0.111150335,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44728,Ark Baptist,Ottawa AZ,12,85,-0.215564847,0.215564847,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44421,Ark Monticello,Arkansas Tech,24,13,1.462940441,-1.462940441,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44662,Arkansas,LSU,10,34,-1.805307836,1.805307836,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44407,Army,East Carolina,45,28,-0.66751415,0.66751415,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44434,Augustana SD,Winona St,31,0,0.928578077,-0.928578077,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44513,Aurora,Rockford,69,0,0.272193985,-0.272193985,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44621,Austin Col,TX Lutheran,17,55,-0.377022185,0.377022185,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
44732,Ave Maria,St Thomas FL,24,40,0.690250885,-0.690250885,"Game Set 9.1, 2024 College Mens Football",FALSE,FALSE,TRUE
