11/03/2024,Abilene Chr,Idaho,24,27,0
11/03/2024,Allegheny,Westminster PA,7,42,0
11/03/2024,Allen,Point,35,10,0
11/03/2024,Alvernia,King's PA,10,35,0
11/03/2024,American Intl,St Anselm,20,37,0
11/03/2024,Anderson IN,Calvin,12,66,0
11/03/2024,Anderson SC,Limestone,5,52,0
11/03/2024,Appalachian St,South Alabama,14,48,0
11/03/2024,Ark Monticello,Harding,3,63,0
11/03/2024,Ark Pine Bluff,Cent Arkansas,17,56,0
11/03/2024,Army,Rice,37,14,0
11/03/2024,Auburn,Arkansas,14,24,0
11/03/2024,Augustana SD,Northern St SD,41,7,0
11/03/2024,Aurora,St Norbert,49,0,0
11/03/2024,Austin Col,Centenary,17,36,0
11/03/2024,Austin Peay,Alabama A&M,59,16,0
11/03/2024,Averett,Ferrum,10,36,0
11/03/2024,BYU,Kansas St,38,9,0
11/03/2024,Baker KS,Culver-Stockton,61,7,0
11/03/2024,Bates,Trinity CT,7,28,0
11/03/2024,Benedict,Edward Waters,31,28,0
11/03/2024,Benedictine IL,Rockford,34,7,0
11/03/2024,Bentley,S Connecticut,34,24,0
11/03/2024,Bethany KS,Sterling,35,14,0
11/03/2024,Bethel KS,Avila,20,17,0
11/03/2024,Bethel MN,WI Eau Claire,51,30,0
11/03/2024,Bethune-Cookman,Clark Atlanta,37,38,0
11/03/2024,Black Hills St,Ft Lewis,33,7,0
11/03/2024,Bluffton,Trine,20,52,0
11/03/2024,Boise St,Portland St,56,14,0
11/03/2024,Boston College,Michigan St,23,19,0
11/03/2024,Bowdoin,Middlebury,15,39,0
11/03/2024,Bowie St,Livingstone,31,17,0
11/03/2024,Brevard,Belhaven MS,42,26,0
11/03/2024,Briar Cliff,Concordia NE,13,63,0
11/03/2024,Brockport St,Wilkes,31,17,0
11/03/2024,Bucknell,Marist,34,18,0
11/03/2024,C Michigan,Ball St,37,34,0
11/03/2024,CSU-Pueblo,CO Mesa,38,14,0
11/03/2024,Cal Lutheran,Pac Lutheran,17,27,0
11/03/2024,Campbell,Stony Brook,17,24,0
11/03/2024,Campbellsville,Bluefield Univ,69,37,0
11/03/2024,Capital,Baldwin-Wallace,21,55,0
11/03/2024,Carleton MN,MN Morris,28,7,0
11/03/2024,Carnegie Mellon,Bethany WV,66,0,0
11/03/2024,Carroll MT,Simpson CA,52,0,0
11/03/2024,Carson-Newman,Wingate,31,28,0
11/03/2024,Carthage,N Central Il,0,63,0
11/03/2024,Castleton,MA Maritime,14,20,0
11/03/2024,Catholic,Morrisville St,28,27,0
11/03/2024,Cent Methodist,Clarke,12,20,0
11/03/2024,Central IA,Wartburg,6,10,0
11/03/2024,Central St OH,Albany GA,7,28,999
11/03/2024,Chadron St,Colorado Mines,12,13,0
11/03/2024,Charleston WV,NC Pembroke,58,36,0
11/03/2024,Cincinnati,Houston,34,0,0
11/03/2024,Clemson,NC State,59,35,0
11/03/2024,Coastal Car,Virginia,24,43,0
11/03/2024,Colby,Williams,19,24,0
11/03/2024,Colgate,Cornell,41,24,0
11/03/2024,Colorado,Baylor,38,31,0
11/03/2024,Colorado St,UTEP,27,17,0
11/03/2024,Columbia,Lafayette,31,20,0
11/03/2024,Concordia IL,Lakeland,61,66,0
11/03/2024,Concordia MI,St Francis IL,7,44,0
11/03/2024,Connecticut,FL Atlantic,48,14,0
11/03/2024,Cornell IA,Lake Forest,19,28,0
11/03/2024,Crown MN,St Scholastica,15,35,0
11/03/2024,Cumberland TN,FL Memorial,47,35,0
11/03/2024,Dartmouth,Fordham,45,13,0
11/03/2024,Davenport,C Missouri,31,32,0
11/03/2024,Dayton,Ave Maria,49,7,0
11/03/2024,DePauw,Wooster,51,14,0
11/03/2024,Dean,Curry,0,50,0
11/03/2024,Defiance,Judson IL,38,20,0
11/03/2024,Delaware,Penn,29,22,0
11/03/2024,Delaware St,Richmond,24,38,0
11/03/2024,Delta St,Fort Valley St,27,24,0
11/03/2024,Denison,Kenyon,14,0,0
11/03/2024,Dickinson,Kean,21,14,0
11/03/2024,Dordt,Hastings,58,0,0
11/03/2024,Dubuque,Simpson IA,28,14,0
11/03/2024,Duquesne,WV Wesleyan,35,0,0
11/03/2024,E Kentucky,Morehead St,42,13,0
11/03/2024,E Michigan,St Francis PA,36,0,0
11/03/2024,E New Mexico,Midwest TX St,15,36,0
11/03/2024,East Central OK,SW Oklahoma,3,19,0
11/03/2024,Eastern Oregon,MT Tech,22,45,0
11/03/2024,Eastern Univ,Lebanon Val,24,40,0
11/03/2024,Edinboro,Bloomsburg,27,32,0
11/03/2024,Eliz. City St,Fayetteville St,7,31,999
11/03/2024,Elmhurst,IL Wesleyan,7,55,0
11/03/2024,Elon,ETSU,14,34,0
11/03/2024,Emory & Henry,Barton,41,0,0
11/03/2024,Emporia St,MO Western,30,27,0
11/03/2024,Endicott,Hilbert,58,0,0
11/03/2024,Erskine,Valdosta St,0,73,0
11/03/2024,Fairmont St,Glenville St,14,17,0
11/03/2024,Faulkner,Pikeville,35,28,0
11/03/2024,Findlay,Lake Erie,42,6,0
11/03/2024,Fitchburg St,Worcester St,14,20,0
11/03/2024,Florida Intl,Monmouth NJ,42,45,0
11/03/2024,Florida St,California,14,9,0
11/03/2024,Fort Hays St,NE Oklahoma,37,0,0
11/03/2024,Frank & Marsh,Montclair St,35,10,0
11/03/2024,Franklin,Adrian,21,42,0
11/03/2024,Friends,KS Wesleyan,28,26,0
11/03/2024,Frostburg St,Concord,54,21,0
11/03/2024,Gannon,Kutztown,14,37,0
11/03/2024,Geneva,Thiel,21,6,0
11/03/2024,George Fox,Claremont M.S.,17,27,0
11/03/2024,Georgetown,Brown,14,26,0
11/03/2024,Gettysburg,Chris Newport,37,54,0
11/03/2024,Grambling,Jackson St,41,20,0
11/03/2024,Grand Valley St,WI LaCrosse,20,13,0
11/03/2024,Grand View,Missouri Val,24,0,0
11/03/2024,Grinnell,Beloit,7,16,0
11/03/2024,Guilford,Sewanee,44,35,0
11/03/2024,Hamilton,Amherst,7,21,0
11/03/2024,Hampden-Sydney,Centre,38,34,0
11/03/2024,Hanover,Olivet MI,56,14,0
11/03/2024,Hartwick,Juniata,30,37,0
11/03/2024,Harvard,Stetson,35,0,0
11/03/2024,Hawaii,Northern Iowa,36,7,0
11/03/2024,Heidelberg,Ohio Northern,27,52,0
11/03/2024,Henderson St,Arkansas Tech,27,12,0
11/03/2024,Hendrix,SW Univ TX,35,20,0
11/03/2024,Hillsdale,Ashland,21,24,0
11/03/2024,Hobart & Smith,Moravian,27,12,0
11/03/2024,Holy Cross,Yale,31,38,0
11/03/2024,Howard,Hampton,20,27,0
11/03/2024,Idaho St,Southern Utah,38,28,0
11/03/2024,Illinois Col,Ripon,44,14,0
11/03/2024,Illinois St,E Illinois,31,7,0
11/03/2024,Incarnate Word,Northern Arizona,38,14,0
11/03/2024,Indiana,Charlotte,52,14,0
11/03/2024,Iowa St,Arkansas St,52,7,0
11/03/2024,JC Smith,Virginia Union,21,16,0
11/03/2024,Jacksonville St,Southern Miss,44,7,0
11/03/2024,Jamestown,Mayville St,20,26,0
11/03/2024,Johns Hopkins,Salisbury,13,41,0
11/03/2024,Keiser,Ft Lauderdale,45,0,0
11/03/2024,Kentucky,Ohio,41,6,0
11/03/2024,Kentucky Chr,Taylor IN,35,67,0
11/03/2024,Kentucky St,Morehouse,28,31,999
11/03/2024,Knox,Chicago,13,27,0
11/03/2024,LIU Post,Rhode Island,21,28,0
11/03/2024,LSU,UCLA,34,17,0
11/03/2024,La Verne,Puget Sound,41,49,0
11/03/2024,Lamar,TX Southern,20,17,0
11/03/2024,Lawrence Tech,Marian IN,23,24,0
11/03/2024,Lehigh,Princeton,35,20,0
