10/20/2024,Abilene Chr,West Georgia,38,24,0
10/20/2024,Adams St,W New Mexico,30,39,0
10/20/2024,Adrian,Elmhurst,55,20,0
10/20/2024,Air Force,San Jose St,7,17,0
10/20/2024,Alabama,South Florida,42,16,0
10/20/2024,Alabama A&M,Kentucky St,49,7,0
10/20/2024,Alabama St,Miles,24,3,0
10/20/2024,Albany GA,Shaw NC,40,43,0
10/20/2024,Albion,WI Stevens Pt,31,23,0
10/20/2024,Albright,Gallaudet,17,6,0
10/20/2024,Alfred St,Anderson IN,13,0,0
10/20/2024,Alma,WI River Falls,35,41,0
10/20/2024,American Intl,Shippensburg,28,3,0
10/20/2024,Anderson SC,St Andrew's,51,14,0
10/20/2024,Apprentice,S Virginia,44,9,0
10/20/2024,Arizona,Northern Arizona,22,10,0
10/20/2024,Arizona St,Mississippi St,30,23,0
10/20/2024,Ark Monticello,NW Oklahoma St,34,7,0
10/20/2024,Ark Pine Bluff,Ark Baptist,73,0,0
10/20/2024,Arkansas St,Tulsa,28,24,0
10/20/2024,Arkansas Tech,OK Baptist,44,41,0
10/20/2024,Ashland,Indiana PA,10,19,0
10/20/2024,Auburn,California,14,21,0
10/20/2024,Augsburg,Valley City St,14,24,0
10/20/2024,Augustana IL,Simpson IA,30,13,0
10/20/2024,Austin Peay,S Illinois,17,31,0
10/20/2024,Averett,NC Wesleyan,41,29,0
10/20/2024,Baker KS,St Ambrose,52,0,0
10/20/2024,Baldwin-Wallace,Wittenberg,24,14,0
10/20/2024,Ball St,Missouri St,42,34,0
10/20/2024,Barton,WV State,24,27,0
10/20/2024,Beloit,Rockford,17,43,0
10/20/2024,Benedictine KS,William Penn,45,27,0
10/20/2024,Bethany KS,KS Wesleyan,16,54,0
10/20/2024,Bethany WV,Allegheny,14,20,0
10/20/2024,Bethel KS,St Mary KS,33,17,0
10/20/2024,Bethel TN,M Hardin-Baylor,20,10,0
10/20/2024,Bethune-Cookman,Mercer,2,31,0
10/20/2024,Black Hills St,SW Baptist,24,14,0
10/20/2024,Bloomsburg,Fairmont St,35,7,0
10/20/2024,Bluefield Univ,Cumberlands KY,9,31,0
10/20/2024,Boston College,Duquesne,56,0,0
10/20/2024,Bridgewater MA,MIT,17,37,0
10/20/2024,Brockport St,Buffalo St,27,0,0
10/20/2024,Bryant,Franklin Pierce,21,17,0
10/20/2024,Buena Vista,Benedictine IL,7,34,0
10/20/2024,C Missouri,NE Oklahoma,63,21,0
10/20/2024,C Oklahoma,Langston,72,0,0
10/20/2024,CSU-Pueblo,Permian Basin,40,23,0
10/20/2024,Calvin,Oberlin,50,6,0
10/20/2024,Carroll MT,MT Tech,22,30,0
10/20/2024,Centenary,Hendrix,20,43,0
10/20/2024,Central Conn,Fordham,33,3,0
10/20/2024,Central IA,IL Wesleyan,49,14,0
10/20/2024,Chadron St,Jamestown,17,10,0
10/20/2024,Chapman,Pacific OR,43,23,0
10/20/2024,Charleston WV,California PA,23,19,0
10/20/2024,Cincinnati,Pittsburgh,27,28,0
10/20/2024,Citadel,S Carolina St,20,23,0
10/20/2024,Claremont M.S.,Chicago,24,0,0
10/20/2024,Clarion,Lincoln PA,20,9,0
10/20/2024,Clark Atlanta,Allen,26,22,0
10/20/2024,Clemson,Appalachian St,66,20,0
10/20/2024,Coast Guard,U New England,30,24,0
10/20/2024,Coastal Car,William & Mary,40,21,0
10/20/2024,Coe,Cornell IA,55,10,0
10/20/2024,Colgate,Villanova,3,28,0
10/20/2024,Colorado Mines,W Texas A&M,41,13,0
10/20/2024,Colorado St,N Colorado,38,17,0
10/20/2024,Concord,Bluefield St,13,22,0
10/20/2024,Concordia MI,Defiance,34,10,0
10/20/2024,Concordia Mhd,WI Eau Claire,10,21,0
10/20/2024,Concordia NE,Morningside,21,51,0
10/20/2024,Connecticut,Merrimack,63,17,0
10/20/2024,Crown MN,Hamline,14,35,0
10/20/2024,Culver-Stockton,Mid Am Nazarene,7,69,0
10/20/2024,Dakota Wesleyan,Mt Marty,17,24,0
10/20/2024,Davidson,Catawba,49,14,0
10/20/2024,DePauw,Rose-Hulman,57,14,0
10/20/2024,Dean,Fitchburg St,0,12,0
10/20/2024,Delta St,Missouri S&T,55,18,0
10/20/2024,Dickinson,Randolph-Macon,21,47,0
10/20/2024,Doane,Briar Cliff,10,15,0
10/20/2024,Dubuque,Aurora,21,33,0
10/20/2024,E Illinois,Indiana St,27,20,0
10/20/2024,E New Mexico,Sul Ross,36,17,0
10/20/2024,E Texas Bap,LaGrange,57,12,0
10/20/2024,E Washington,Drake,32,35,0
10/20/2024,ETSU,UVA-Wise,61,0,0
10/20/2024,East Central OK,Henderson St,17,41,0
10/20/2024,Eastern Univ,College of NJ,12,34,0
10/20/2024,Eliz. City St,Chowan,12,9,0
10/20/2024,Emporia St,Angelo St,17,12,0
10/20/2024,Erskine,Presbyterian,14,31,0
10/20/2024,Evangel,Tabor,33,17,0
10/20/2024,FDU Madison,Wm Paterson,37,9,0
10/20/2024,FL Atlantic,Army,7,24,0
10/20/2024,FL Memorial,Edward Waters,31,21,0
